,Mean Absolute Error,Mean Squared Error,Root Mean Squared Error,R2 Score
Wine Red [wineModel] - [ori feature - ori target],0.509317378127419,0.40344823949326775,0.635175754805918,0.38264021093993317
Wine Red [wineModel] - [norm feature - norm target],0.1012589443767912,0.01583502019610881,0.1258372766556429,0.3942280712198548
Wine Red [wineModel] - [std feature - std target],0.6057021533483136,0.5666726457757658,0.7527766240896205,0.43484076811277417
Wine Red [wineModel] - [norm feature - ori target],0.5062662570470676,0.404332374437137,0.6358713505396646,0.3812873004324209
Wine Red [wineModel] - [std feature - ori target],0.5048707162214091,0.4037924807535509,0.6354466781355859,0.3821134501537141
Wine White [wineModel] - [ori feature - ori target],0.594062556612421,0.580772069309609,0.7620840303467912,0.2501068892276077
Wine White [wineModel] - [norm feature - norm target],0.09900950540563101,0.015980676578468134,0.12641470080045333,0.2571668016109234
Wine White [wineModel] - [std feature - std target],0.6173804825989775,0.632819728254157,0.7954996720641417,0.35923611796427946
Wine White [wineModel] - [norm feature - ori target],0.5960244061814086,0.5905006086674923,0.7684403741784345,0.23754539560924703
Wine White [wineModel] - [std feature - ori target],0.5538699453779912,0.5049159628526921,0.7105743893869889,0.3480523219507753
Student Math [stdModel] - [le feature - ori target],1.2052982696587355,4.294111994290436,2.0722239247461736,0.7905826824901806
Student Math [stdModel] - [le-norm feature - ori target],1.702134118726074,5.768006382247818,2.40166741707669,0.7187030926170677
Student Math [stdModel] - [le-std feature - ori target],2.0286644981265036,7.199808486950334,2.6832458864126365,0.6488762794434952
Student Math [stdModel] - [ohe feature - ori target],1.3700872901532202,5.080784379978671,2.254059533370552,0.7522178655061507
Student Math [stdModel] - [ohe-norm feature - ori target],1.7945501155261754,6.45359624390327,2.5403929310056093,0.6852679167458483
Student Math [stdModel] - [ohe-std feature - ori target],2.2433339452024703,8.060280784505194,2.839063363946848,0.6069123528889373
Student Math [stdModel] - [le feature - le target],1.2052982696587355,4.294111994290436,2.0722239247461736,0.7905826824901806
Student Math [stdModel] - [le-norm feature - le target],1.702134118726074,5.768006382247818,2.40166741707669,0.7187030926170677
Student Math [stdModel] - [le-std feature - le target],2.0286644981265036,7.199808486950334,2.6832458864126365,0.6488762794434952
Student Math [stdModel] - [ohe feature - ohe target],1.3700872901532202,5.080784379978671,2.254059533370552,0.7522178655061507
Student Math [stdModel] - [ohe-norm feature - ohe target],1.7945501155261754,6.45359624390327,2.5403929310056093,0.6852679167458483
Student Math [stdModel] - [ohe-std feature - ohe target],2.2433339452024703,8.060280784505194,2.839063363946848,0.6069123528889373
Student Portuguese [stdModel] - [le feature - ori target],0.8136115853733142,1.559425604941704,1.2487696364589043,0.8400870566035121
Student Portuguese [stdModel] - [le-norm feature - ori target],0.9066770393545821,1.7891618729160492,1.3375955565551378,0.8165285086995386
